,xinxi,cutted_xinxi
10,嫌疑人性别: 男是否是少数民族: 是嫌疑人身高: 170以下嫌疑人年龄: 20以下试用一下,嫌疑人 性别 :   男 是否是 少数民族 :   是 嫌疑人 身高 :   170 以下 嫌疑人 年龄 :   20 以下 试用 一下
11,郭辛庄桥靠近辰永路一侧的桥头，有一口井的井盖丢失，上面盖着一些杂物，存在安全隐患。,郭辛庄桥 靠近 辰永路 一侧 的 桥头 ， 有 一口 井 的 井盖 丢失 ， 上面 盖 着 一些 杂物 ， 存在 安全隐患 。
12,河北区月牙河北道上有多个亲水平台，但是靠近河边的护栏损坏严重，给来此休闲散步的居民带来安全隐患。,河北区 月牙 河北 道 上 有 多个 亲水 平台 ， 但是 靠近 河边 的 护栏 损坏 严重 ， 给 来 此 休闲 散步 的 居民 带来 安全隐患 。
13,天津车祸,天津 车祸
14,新开河沿线绿化非常好。，是附近居民锻炼的好去处。可有人在河堤上吃烧烤，垃圾扔的到处都是，既影响环境又容易引起火灾。,新开河 沿线 绿化 非常 好 。 ， 是 附近 居民 锻炼 的 好去处 。 可 有人 在 河堤 上 吃 烧烤 ， 垃圾 扔 的 到处 都 是 ， 既 影响 环境 又 容易 引起 火灾 。
15,今天不在家今天不在家，好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的今天不在家好的,今天 不 在家 今天 不 在家 ， 好 的 今天 不 在家 好 的 今天 不 在家 好 的 今天 不 在家 好 的 今天 不 在家 好 的 今天 不 在家 好 的 今天 不 在家 好 的 今天 不 在家 好 的 今天 不 在家 好 的
16,嫌疑人性别: 男是否是少数民族: 是嫌疑人身高: 170以下嫌疑人年龄: 20以下110,嫌疑人 性别 :   男 是否是 少数民族 :   是 嫌疑人 身高 :   170 以下 嫌疑人 年龄 :   20 以下 110
17,"嫌疑人性别:女, 是否是少数民族:否, 嫌疑人身高:170以下, 嫌疑人年龄:30-40, 扒窃","嫌疑人 性别 : 女 ,   是否是 少数民族 : 否 ,   嫌疑人 身高 : 170 以下 ,   嫌疑人 年龄 : 30 - 40 ,   扒窃"
18,前天9号线安检员发工资后，今日17名安检员集体不辞而别。仅东海路站缺员3名，安检工作受到影响,前天 9 号线 安检员 发工资 后 ， 今日 17 名 安检员 集体 不辞而别 。 仅 东海路 站 缺员 3 名 ， 安检 工作 受到 影响
19,自从轻轨车站全面禁烟以来，仍有内部员工在站内卫生间或原吸烟区内吸烟。,自从 轻轨 车站 全面 禁烟 以来 ， 仍 有 内部 员工 在 站 内 卫生间 或原 吸烟 区内 吸烟 。
20,自9月2日9号线安检员17人不辞而别集体离开后，据了解，仍有一些安检员打算近期离开。,自 9 月 2 日 9 号线 安检员 17 人 不辞而别 集体 离开 后 ， 据 了解 ， 仍 有 一些 安检员 打算 近期 离开 。
21,南开区，兴泰路本身道路狭窄。但是每天晚间七点半以后总有车辆在道路双向停车的情况下，再行双排停车。致道路拥堵，对车辆行人通行造成极大安全隐患。,南开区 ， 兴泰路 本身 道路 狭窄 。 但是 每天 晚间 七点 半 以后 总有 车辆 在 道路 双向 停车 的 情况 下 ， 再行 双排 停车 。 致 道路 拥堵 ， 对 车辆 行人 通行 造成 极大 安全隐患 。
22,红星路与津塘路交口（人人乐超市旁的十字路口），行人特别是老人步行及骑车闯红灯现象极其严重，大家把闯红灯当作一种习以为常的行为，不仅给自己的人身安全带来隐患，还造成该路口车辆拥堵，望有关部门督促管制。,红星路 与 津塘路 交口 （ 人人乐 超市 旁 的 十字路口 ） ， 行人 特别 是 老人 步行 及 骑车 闯红灯 现象 极其 严重 ， 大家 把 闯红灯 当作 一种 习以为常 的 行为 ， 不仅 给 自己 的 人身安全 带来 隐患 ， 还 造成 该 路口 车辆 拥堵 ， 望 有关 部门 督促 管制 。
23,发生打架,发生 打架
24,胡家园轻轨站由于昨天大雨，今日车站外积水达20至30厘米严重影响乘客进出车站,胡 家园 轻轨站 由于 昨天 大雨 ， 今日 车站 外 积水 达 20 至 30 厘米 严重 影响 乘客 进出 车站
25,"嫌疑人性别:男, 是否是少数民族:否, 嫌疑人身高:170-180, 嫌疑人年龄:20-30, 在直沽菜市场附近，有一年轻男子跟踪一位70左右老人，实施行窃。","嫌疑人 性别 : 男 ,   是否是 少数民族 : 否 ,   嫌疑人 身高 : 170 - 180 ,   嫌疑人 年龄 : 20 - 30 ,   在 直沽 菜市场 附近 ， 有 一 年轻 男子 跟踪 一位 70 左右 老人 ， 实施 行窃 。"
26,河东区六纬路,河东区 六纬路
27,天津市宝坻区牛道口镇，宝武路芮家庄桥东侧，有运油车给工地车辆私自加油，有安全隐患,天津市 宝坻区 牛 道口镇 ， 宝武路 芮 家庄 桥 东侧 ， 有运 油车 给 工地 车辆 私自 加油 ， 有 安全隐患
28,东丽区张贵庄村村民，因还迁问题，去镇里。,东丽区 张贵庄 村 村民 ， 因 还 迁 问题 ， 去 镇里 。
29,在十一经路劳务市场附近有人聚众赌博。,在 十一 经路 劳务市场 附近 有人 聚众赌博 。
30,天津地铁二号线曹庄站车厢内有一名老年乞讨人员乞讨,天津 地铁 二号线 曹庄 站 车厢 内有 一名 老年 乞讨 人员 乞讨
31,六纬路,六纬路
32,六纬路,六纬路
33,在塘沽有些人员流通量大的地区，共享单车大量摆放，影响正常的通行，建议少量投放，或者合理投放。,在 塘沽 有些 人员 流通量 大 的 地区 ， 共享 单车 大量 摆放 ， 影响 正常 的 通行 ， 建议 少量 投放 ， 或者 合理 投放 。
34,塘沽区杭州道附近有外地牌照假出租车拉活。,塘沽区 杭州 道 附近 有 外地 牌照 假 出租车 拉活 。
35,东丽开发区东园花园小区晚上没有路灯,东丽 开发区 东园 花园 小区 晚上 没有 路灯
36,自从八月中旬轻轨车站安检员不能在轻轨车站住宿以来，安检员每日休息时间严重严重不足。,自从 八月 中旬 轻轨 车站 安检员 不能 在 轻轨 车站 住宿 以来 ， 安检员 每日 休息时间 严重 严重不足 。
37,这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字,这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字 这是 一段 很长 的 文字
38,"嫌疑人性别:男, 是否是少数民族:否, 嫌疑人身高:170-180, 嫌疑人年龄:20-30, 扒窃","嫌疑人 性别 : 男 ,   是否是 少数民族 : 否 ,   嫌疑人 身高 : 170 - 180 ,   嫌疑人 年龄 : 20 - 30 ,   扒窃"
39,解放南路与潭江道交口西南侧优士公寓出入口旁边，违章搭建临时棚屋，从事水果蔬菜等的贩卖，造成环境的破坏，物品随意在周围堆放，同时各种易燃物品也随处可见，造成了非常大的消防安全隐患。望有关单位关注。,解放南路 与 潭 江道 交口 西南侧 优士 公寓 出入口 旁边 ， 违章 搭建 临时 棚屋 ， 从事 水果 蔬菜 等 的 贩卖 ， 造成 环境 的 破坏 ， 物品 随意 在 周围 堆放 ， 同时 各种 易燃物品 也 随处可见 ， 造成 了 非常 大 的 消防安全 隐患 。 望 有关 单位 关注 。
40,河东区大直沽中路，悦东方小区，为赶工程，每天晚上施工，影响了周围市民休息，近期有市民经常跟他们工地的人吵闹，望有关部门调查,河东区 大直 沽 中路 ， 悦 东方 小区 ， 为 赶 工程 ， 每天晚上 施工 ， 影响 了 周围 市民 休息 ， 近期 有 市民 经常 跟 他们 工地 的 人 吵闹 ， 望 有关 部门 调查
41,河东区大直沽鸿起顺饭庄附近经常有收药人员活动，戴白色帽子穿粉色上衣，骑灰色电动车,河东区 大 直沽鸿起 顺 饭庄 附近 经常 有 收药 人员 活动 ， 戴 白色 帽子 穿 粉色 上衣 ， 骑 灰色 电动车
42,  北辰区金玖家园小区又多了一个活动板房，进出小区车辆无法错车了，严重造成小区车辆出行困难，希望政府顺义道其它违法占道的活动房不敢清理，把堵在小区门口的两个活动房清了，顺义道一堵车，小区根本进出困难,    北辰区 金玖 家园 小区 又 多 了 一个 活动 板房 ， 进出 小区 车辆 无法 错车 了 ， 严重 造成 小区 车辆 出行 困难 ， 希望 政府 顺义 道 其它 违法 占道 的 活动房 不敢 清理 ， 把 堵 在 小区 门口 的 两个 活动房 清 了 ， 顺义 道 一 堵车 ， 小区 根本 进出 困难
43,河东区韶山道32号附近有一个胡同，里面住的全是外地来津务工人员租住的小平房，由于闲时无事经常有很多无业人员设局赌博，望有关部门整顿。,河东区 韶山 道 32 号 附近 有 一个 胡同 ， 里面 住 的 全是 外地 来津 务工人员 租住 的 小平房 ， 由于 闲时 无 事 经常 有 很多 无业人员 设局 赌博 ， 望 有关 部门 整顿 。
44,天津所有地铁地上车站几乎都存在一个问题：不注重节能保温～冬冷夏热。有窗户可以通风的，也要做成消防,天津 所有 地铁 地上 车站 几乎 都 存在 一个 问题 ： 不 注重 节能 保温 ～ 冬冷夏热 。 有 窗户 可以 通风 的 ， 也 要 做成 消防
45,消防联动窗，不等到着火不能打开通风,消防 联动 窗 ， 不 等到 着火 不能 打开 通风
46,河东区成林道程林里45号楼旁有一处废品收购点积压各种废品安全隐患十分严重 极易发生火情,河东区 成林 道程 林里 45 号楼 旁 有 一处 废品收购 点 积压 各种 废品 安全隐患 十分 严重   极易 发生 火情
47,直沽外马路,直沽外 马路
48,河北区天泰路与津浦铁路交口附近一个铁路涵洞，涵洞口顶部的铁板出现锈蚀，脱落的情况。,河北区 天泰路 与 津浦铁路 交口 附近 一个 铁路 涵洞 ， 涵洞 口 顶部 的 铁板 出现 锈蚀 ， 脱落 的 情况 。
49,2017年9月3日，一辆津fv6086汽车闯红灯和平区大沽北路！,2017 年 9 月 3 日 ， 一辆 津 fv6086 汽车 闯红灯 和平区 大沽 北路 ！
50,南开区西湖道兴泰路至白堤路，下午五点至八点大量小贩以及私家车随意停放。严重影响交通安全秩序。并存在治安隐患。,南开区 西湖 道 兴泰路 至 白堤路 ， 下午 五点 至 八点 大量 小贩 以及 私家车 随意 停放 。 严重 影响 交通安全 秩序 。 并 存在 治安 隐患 。
51,天津市河东区与津塘路交口处的的十二经路单行道路两旁随意停放私车严重使道路变窄还有人逆行骑自行车很容易造成事故请有关部门处理,天津市 河东区 与 津塘路 交口 处 的 的 十二 经路 单行 道路 两旁 随意 停放 私车 严重 使 道路 变窄 还有 人 逆行 骑 自行车 很 容易 造成 事故 请 有关 部门 处理
52,天津市河东区大王庄九经路与八纬路交口处的翔宇小学门口道路上随意停车严重导致单行道严重变窄尤其是学生一放学很容易造成事故纠纷请有关部门处理,天津市 河东区 大王 庄九经路 与 八纬路 交口 处 的 翔宇 小学 门口 道路 上 随意 停车 严重 导致 单行道 严重 变窄 尤其 是 学生 一 放学 很 容易 造成 事故 纠纷 请 有关 部门 处理
53,天津市河北区岷江路上，有一段路面损毁严重，到处都是坑，一到下雨，不知道路况的车很容易陷进去，前段时间，由于井盖缺失，下大雨，导致公交车都陷了下去，该路段很容易造成车辆熄火或托底，希望有关部门赶紧处理,天津市 河北区 岷江 路上 ， 有 一段 路面 损毁 严重 ， 到处 都 是 坑 ， 一到 下雨 ， 不 知道 路况 的 车 很 容易 陷 进去 ， 前段时间 ， 由于 井盖 缺失 ， 下 大雨 ， 导致 公交车 都 陷 了 下去 ， 该 路段 很 容易 造成 车辆 熄火 或 托底 ， 希望 有关 部门 赶紧 处理
54,天津市东丽区华明家园里有条杨北公路直穿整个住宅区，天天都有大型满载货车高速在上边跑来跑去，在加上华明镇有好多无证驾驶的黄色电瓶车不遵守交规，到处乱窜，闯红灯极易出交通事故，而且一到晚上，杨北公路上基本一个路灯没有，马路上基本是全黑，大货车经常挑个远光灯跑，导致能见度极差，希望有关部门赶紧处理,天津市 东丽区 华明 家园 里 有条 杨北 公路 直穿 整个 住宅区 ， 天天 都 有 大型 满载 货车 高速 在 上边 跑来跑去 ， 在 加上 华明 镇有 好多 无证 驾驶 的 黄色 电瓶车 不 遵守 交规 ， 到处 乱窜 ， 闯红灯 极易 出 交通事故 ， 而且 一到 晚上 ， 杨北 公路 上 基本 一个 路灯 没有 ， 马路上 基本 是 全黑 ， 大 货车 经常 挑个 远光灯 跑 ， 导致 能见度 极差 ， 希望 有关 部门 赶紧 处理
55,有人欲到信访部门反映问题,有人 欲 到 信访部门 反映 问题
56,天津市河北区靖江桥靖江东里有很多平房以及自己擅自搭建的违规住房拆迁未完工且一直没有动静，砖头瓦砾到处都是，存在一定的安全隐患，望相关部门予以治理.,天津市 河北区 靖江 桥 靖江 东里 有 很多 平房 以及 自己 擅自 搭建 的 违规 住房 拆迁 未 完工 且 一直 没有 动静 ， 砖头 瓦砾 到处 都 是 ， 存在 一定 的 安全隐患 ， 望 相关 部门 予以 治理 .
57,天津市河北区江都路常州道与真理道区间的市场，有很多没有底商的小摊小贩卖东西，就在全运会开幕期间，一馒头房出现了轻微爆炸事件，听当地居民说为锅炉爆炸，希望相关部门对生火标准严格把控，杜绝此类事件再次发生.,天津市 河北区 江都 路 常州 道 与 真理 道 区间 的 市场 ， 有 很多 没有 底商 的 小摊 小 贩卖 东西 ， 就 在 全运会 开幕 期间 ， 一 馒头 房 出现 了 轻微 爆炸事件 ， 听 当地 居民 说 为 锅炉 爆炸 ， 希望 相关 部门 对 生火 标准 严格 把 控 ， 杜绝 此类 事件 再次发生 .
58,河北区幸福道如东里社区，花园内有一流浪人员，在花园内私搭乱盖，既影响花园美观，又造成安全隐患，望有关部门尽快解决。,河北区 幸福 道 如东 里 社区 ， 花园 内有 一 流浪 人员 ， 在 花园 内私 搭 乱盖 ， 既 影响 花园 美观 ， 又 造成 安全隐患 ， 望 有关 部门 尽快 解决 。
59,天津市津南区小站镇水榭花都附近道路上出现了很多违规停放的车辆，造成了夜间交通的拥堵非常严重，给道路的安全情况。造成了一定的影响。希望有关部门予以解决。,天津市 津南区 小站 镇 水榭 花都 附近 道路 上 出现 了 很多 违规 停放 的 车辆 ， 造成 了 夜间 交通 的 拥堵 非常 严重 ， 给 道路 的 安全 情况 。 造成 了 一定 的 影响 。 希望 有关 部门 予以 解决 。
60,天津市津南区小站镇锦尚豪庭小区门前道路，下雨积水严重，影响周围居民出行，东门处十字路口无红绿灯，以引发多起交通事故！望有关部门关注解决！,天津市 津南区 小站 镇锦尚 豪庭 小区 门前 道路 ， 下雨 积水 严重 ， 影响 周围 居民 出行 ， 东门 处 十字路口 无 红绿灯 ， 以 引发 多 起 交通事故 ！ 望 有关 部门 关注 解决 ！
61,河北区革新道通达新苑底商，有卖淫场所，对周边影响极坏，望有关部门尽快解决。,河北区 革新 道 通达 新苑 底商 ， 有 卖淫 场所 ， 对 周边 影响 极坏 ， 望 有关 部门 尽快 解决 。
62,天津市河北区狮子林大街处，在道路上有分发小广告的人，违反交通法而且很危险，请有关部门注意管理,天津市 河北区 狮子林 大街 处 ， 在 道路 上 有 分发 小 广告 的 人 ， 违反 交通 法 而且 很 危险 ， 请 有关 部门 注意 管理
63,天津市，华北集团地铁站站附近，有很多黑出租在地铁站附近等活儿，这种出租车经常出现宰客现象，希望有关部门注意治理.,天津市 ， 华北 集团 地铁站 站 附近 ， 有 很多 黑 出租 在 地铁站 附近 等 活儿 ， 这种 出租车 经常出现 宰客 现象 ， 希望 有关 部门 注意 治理 .
64,天津和平区新兴路上的新星小学让一年级新生在未完工大楼里上课，存在严重的安全隐患，希望赶紧整改，不要等出了问题才去解决。,天津 和平区 新兴 路上 的 新星 小学 让 一年 级新生 在 未 完工 大楼 里 上课 ， 存在 严重 的 安全隐患 ， 希望 赶紧 整改 ， 不要 等 出 了 问题 才 去 解决 。
65,据和平区营口道惠嘉公寓居民反映，本月17日一伙打着“天津天著停车服务有限公司”的地痞流氓，在没有天津公安交通管理局任何许可其收停车费的情况下，强设在进出口设立栏杆，霸占业主公用停车场，张贴布告地上车位每月260，地下车位每月520，按季按年交给他们，否则禁止进出，业主们集体拒交，结果引发了群体性维权冲突，望有关部门加强管理！,据 和平区 营口 道惠嘉 公寓 居民 反映 ， 本月 17 日 一伙 打着 “ 天津 天著 停车 服务 有限公司 ” 的 地痞流氓 ， 在 没有 天津 公安交通 管理局 任何 许可 其收 停车费 的 情况 下 ， 强 设在 进出口 设立 栏杆 ， 霸占 业主 公用 停车场 ， 张贴 布告 地上 车位 每月 260 ， 地下 车位 每月 520 ， 按季 按 年 交给 他们 ， 否则 禁止 进出 ， 业主 们 集体 拒交 ， 结果 引发 了 群体性 维权 冲突 ， 望 有关 部门 加强 管理 ！
