xinxi,leixing
这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字这是一段很长的文字,0
"嫌疑人性别:男, 是否是少数民族:否, 嫌疑人身高:170-180, 嫌疑人年龄:20-30, 扒窃",1
解放南路与潭江道交口西南侧优士公寓出入口旁边，违章搭建临时棚屋，从事水果蔬菜等的贩卖，造成环境的破坏，物品随意在周围堆放，同时各种易燃物品也随处可见，造成了非常大的消防安全隐患。望有关单位关注。,1
河东区大直沽中路，悦东方小区，为赶工程，每天晚上施工，影响了周围市民休息，近期有市民经常跟他们工地的人吵闹，望有关部门调查,1
河东区大直沽鸿起顺饭庄附近经常有收药人员活动，戴白色帽子穿粉色上衣，骑灰色电动车,1
  北辰区金玖家园小区又多了一个活动板房，进出小区车辆无法错车了，严重造成小区车辆出行困难，希望政府顺义道其它违法占道的活动房不敢清理，把堵在小区门口的两个活动房清了，顺义道一堵车，小区根本进出困难,1
河东区韶山道32号附近有一个胡同，里面住的全是外地来津务工人员租住的小平房，由于闲时无事经常有很多无业人员设局赌博，望有关部门整顿。,1
天津所有地铁地上车站几乎都存在一个问题：不注重节能保温～冬冷夏热。有窗户可以通风的，也要做成消防,0
消防联动窗，不等到着火不能打开通风,0
河东区成林道程林里45号楼旁有一处废品收购点积压各种废品安全隐患十分严重 极易发生火情,0
直沽外马路,1
河北区天泰路与津浦铁路交口附近一个铁路涵洞，涵洞口顶部的铁板出现锈蚀，脱落的情况。,0
2017年9月3日，一辆津fv6086汽车闯红灯和平区大沽北路！,0
南开区西湖道兴泰路至白堤路，下午五点至八点大量小贩以及私家车随意停放。严重影响交通安全秩序。并存在治安隐患。,1
天津市河东区与津塘路交口处的的十二经路单行道路两旁随意停放私车严重使道路变窄还有人逆行骑自行车很容易造成事故请有关部门处理,0
天津市河东区大王庄九经路与八纬路交口处的翔宇小学门口道路上随意停车严重导致单行道严重变窄尤其是学生一放学很容易造成事故纠纷请有关部门处理,0
天津市河北区岷江路上，有一段路面损毁严重，到处都是坑，一到下雨，不知道路况的车很容易陷进去，前段时间，由于井盖缺失，下大雨，导致公交车都陷了下去，该路段很容易造成车辆熄火或托底，希望有关部门赶紧处理,0
天津市东丽区华明家园里有条杨北公路直穿整个住宅区，天天都有大型满载货车高速在上边跑来跑去，在加上华明镇有好多无证驾驶的黄色电瓶车不遵守交规，到处乱窜，闯红灯极易出交通事故，而且一到晚上，杨北公路上基本一个路灯没有，马路上基本是全黑，大货车经常挑个远光灯跑，导致能见度极差，希望有关部门赶紧处理,0
有人欲到信访部门反映问题,0
天津市河北区靖江桥靖江东里有很多平房以及自己擅自搭建的违规住房拆迁未完工且一直没有动静，砖头瓦砾到处都是，存在一定的安全隐患，望相关部门予以治理.,0
天津市河北区江都路常州道与真理道区间的市场，有很多没有底商的小摊小贩卖东西，就在全运会开幕期间，一馒头房出现了轻微爆炸事件，听当地居民说为锅炉爆炸，希望相关部门对生火标准严格把控，杜绝此类事件再次发生.,0
河北区幸福道如东里社区，花园内有一流浪人员，在花园内私搭乱盖，既影响花园美观，又造成安全隐患，望有关部门尽快解决。,0
天津市津南区小站镇水榭花都附近道路上出现了很多违规停放的车辆，造成了夜间交通的拥堵非常严重，给道路的安全情况。造成了一定的影响。希望有关部门予以解决。,0
天津市津南区小站镇锦尚豪庭小区门前道路，下雨积水严重，影响周围居民出行，东门处十字路口无红绿灯，以引发多起交通事故！望有关部门关注解决！,0
河北区革新道通达新苑底商，有卖淫场所，对周边影响极坏，望有关部门尽快解决。,0
天津市河北区狮子林大街处，在道路上有分发小广告的人，违反交通法而且很危险，请有关部门注意管理,0
天津市，华北集团地铁站站附近，有很多黑出租在地铁站附近等活儿，这种出租车经常出现宰客现象，希望有关部门注意治理.,0
天津和平区新兴路上的新星小学让一年级新生在未完工大楼里上课，存在严重的安全隐患，希望赶紧整改，不要等出了问题才去解决。,0
据和平区营口道惠嘉公寓居民反映，本月17日一伙打着“天津天著停车服务有限公司”的地痞流氓，在没有天津公安交通管理局任何许可其收停车费的情况下，强设在进出口设立栏杆，霸占业主公用停车场，张贴布告地上车位每月260，地下车位每月520，按季按年交给他们，否则禁止进出，业主们集体拒交，结果引发了群体性维权冲突，望有关部门加强管理！,0
据和平区营口道惠嘉公寓居民反映，本月17日一伙打着“天津天著停车服务有限公司”的地痞流氓，在没有天津公安交通管理局任何许可其收停车费的情况下，强设在进出口设立栏杆，霸占业主公用停车场，张贴布告地上车位每月260，地下车位每月520，按季按年交给他们，否则禁止进出，业主们集体拒交，结果引发了群体性维权冲突，望有关部门加强管理！,0
天津市和平区大沽南路长期有违章停车现象发生，在全运会即将开展之际，不但对城市的品味形象造成不良影响，还会使其它车辆正常通行效率也跟着受到影响损害大家的通行权利，望有关部门加强管理,0
天津市河北区月牙河地铁站路口，月牙河道方向红绿灯变换时间不一致，经常误导过路行人，极其容易造成事故，望抓紧整治。,0
东丽区 津汉公路 津汉桥 桥下 外环线向机场方向 跃进路 交口 红绿灯未开启 而且这个地段车流量很大 致使早晚高峰经常拥堵 还总发生因为机动车抢行而发生的交通事故 希望有关部门尽快解决交通信号灯的问题 ！！！,0
天津市塘沽区京门大道与滨海九路交口红绿灯处，由西向东方向，经常有很多机动车违章逆向行驶，该路段早晚高峰机动车通行量相当大，存在极大安全隐患，希望有关部门加强管理，制止机动车违章行为！！！,0
天津市南开区西湖道与白堤路交口风荷园小区内垃圾成山，快成垃圾场了，每天居民把生活垃圾肆意乱扔，西边围墙边的树也被洗浴从小区大门进来给砍了，现在市政府及国家都提倡环保，希望有关部门予以关注,0
东丽区 津汉桥 桥下 外环线向机场方向 跃进路 交口 红绿灯未开启 车流量很大 致使早晚高峰经常拥堵 还总发生因为机动车抢行而发生的交通事故 希望有关部门尽快解决交通信号灯的问题 ,0
中纺前街与华新大街交口有一穿红色衬衣，黑色长裤女子。收售烟酒药品，严重影响附近居民的健康。,0
天津市河北区北宁公园内有一枯树树枝断裂，如果遇到大风天气极有可能砸到晨练的老年人，造成人员伤亡，希望有关部门及时清理断裂的树枝，防止安全事故发生。,1
天津市南开区华苑地华里15号楼门前自来水跑冒。而且跑冒现象已经持续两三个月了，至今无人问津，小区里业主和物业居委会多次反映相关部门无果，现在市政府对环保很重视，而且天津现在是极度缺水的城市，那么多的干净水源就浪费了，让老百姓很是心疼，希望有关部门及时解决,1
嫌疑人性别: 男是否是少数民族: 是嫌疑人身高: 170以下嫌疑人年龄: 20以下,1
在子牙河北岸天河桥东侧通往天平路的马路上看到，路面被涂上了黄色长方形方框，几辆悬挂黄色教练车牌照的车辆正在练习左右倒车入库、侧方停车等。其中一辆教练车车顶还罩了个超大的遮阳伞，把前挡风玻璃遮挡住了一半。教练车开起来歪歪扭扭，过往车辆纷纷鸣笛躲避，存在严重的安全隐患，希望有关部门进行治理。,0
近日，一到夜晚以海河的解放桥为主的跨河桥或亲水平台上就会上演“跳水表演”，跳水爱好者为博得掌声，从数米高的堤岸或桥面鱼跃跳进河中。专业跳水人士对其选择海河跳水以及动作技术上的不专业感到忧心忡忡。这种活动严重危害了自己的生命安全和城市形象，希望有关部门进行治理。,1
无暇街春霞里小区每天早晨3.4点钟就有商贩来站道经营，实在影响日常休息，而且每天早晨过的路根本没法走，已经被商贩堵严，联系综合执法，根本连理都不理，以前常走的路，现在每天早晨只能绕道出行，本来宽敞的马路被占到经营。早市就成立在每天开车路过的马路上，影响交通和小区居民晚上休息，而且散市以后影响环境，脏乱无人收拾严重影响周边居民生活。,0
天津市河东区二号桥街福东北里居民。与本小区一路之隔的福东里垃圾站，该站位于建东道福东里一侧，与北里最近处不过15米，每天凌晨四点半准时作业，有时甚至四点就开始，大小型垃圾运输车辆频繁出入，垃圾倾倒、车辆噪声，人员喧哗等十分嘈杂，近期该站增加了不少大型垃圾处理设备，噪声更是加剧，作业更是频繁，晚上十点以后还有作业情况，现已严重影响附近居民的休息，尤其是老人更是苦不堪言。希望能帮周围居民解决这个噪音问题，还老百姓一个安静的环境。,0
凤凰城南门南侧与东风里小区北侧有一条无名小路，此道路连接气象台路。该路是进入东风里小区的主路，道路上没画停车线，东风里小区居民车辆都停在该路上。而路口处有一个大爷收取停车费，他未穿工作服，也没有发票。东风里小区车辆他认识的不收费，其他车辆停车就要钱。乱收费现象严重。请有关部门予以核查并处理。,0
天津市河北区建昌道长青北里4号楼后有一平房住户，养各种动物。鸡鸭，鸽子。羊，狗等。味道特别大。而且扰民严重。每天不同时间鸣叫。所辖区街道投诉多次无果。说没有执法权。综合执法大队也是打电话多次打不通。希望有关部门予以解决。,0
耀远里小区一号楼后身垃圾场，连续三天夜里有三辆大车铲沙到十二点，很扰民声音极响，包括开车的声音和铲沙的声音，还看到他们给车牌喷漆。,0
最近家中父母总是接到莫名电话，称自己是移动，联通公司的客服，其手中有家中老人信息名字、身份证号，问询老人信息后称有老人有在公司办理了另一张手机卡，并向外发送信息，已发送2万多条，要求老人补交话费，否则就将老人手机全部关机。此类现象疑似新的电话诈骗手段，请有关部门加紧防范。,0
举报黄色网站http://222.caoliubb.com,0
财经大学地铁站出口打车时出租车不给打表，按目的地按位收费一口价，不合规定。还有许多黑出租和三蹦子，同样一口价，存在安全隐患，且严重影响城市形象。,0
违法从网络群发赌博信息，遍撒网的方式诱骗群众从网络进行黄、赌、毒行为。,0
天津市河北区革新道七十七中学对面亚都洗浴休闲中心内三楼单间有小姐提供色情服务,0
天津市河北区王串场一号路中石化加油站对面温泉酒店休闲娱乐中心内四楼有小姐提供色情服务,0
天津市津南区双港曹氏大厦温泉洗浴内有色情服务 明码标价 人流量大 对社会照成严重影响 望有关部门给予处理,1
天津市河东区昆仑路纺金胜歌舞厅内有小姐陪唱 谈好价钱可带走 晚上经常和不明男子出去进行色情交易 对社会造成严重影响 望有关部门给予处理,1
河北区王串场街清水园小区 目前正在进行的供暖改造，施工人员为了利益和图省事儿，在楼道和屋内暴力施工，造成室内和楼道墙体大面积污损破坏，将老旧小区改造的成果毁于一旦，这种强制安装和暴力安装的行为已经损害了居民对于财产的自主权，损害了业主的核心利益。请有关部门加强管理！,0
在天津市河东区崂山道公交站，看到铁质站牌上的公交站点名称被小广告糊死，已经无法辨别站点名称等信息。望相关部门加强管理。,0
南口路，盛和家园小区附近的会销越来越多，以各种领鸡蛋，挂面等物品吸引老年人听课，最终让其买保健品，机器等，对所推销产品功效夸大其词，其中好多都是三无产品，希望有关部门关注并治理,1
天津市河北区桥园路菜市场对面，下水道堵塞严重并且时常往外冒脏水，希望有关部门及时治理,1
天津市河北区常州道附近，在人行道上设有牌局，很多人员参与其中，有聚众赌博的嫌疑，而且因打牌声过大，严重怀疑周围居民休息，而且对市容环境造成严重影响，请有关部门治理整顿。,1
卫津南路肿瘤医院门口长期有大量的汽车违法乱停，有时停四、五排，骑自行车的人都要到靠近中线的机动车道骑车，汽车在这里造成严重的拥堵，望有关部门尽快处理。,1
每天晚上北辰区佳宁道南侧马路非机动车道上都有夜市占道经营，商户面包车占用一条机动车道，再加上来吃路边摊的人停的车，经常造成道路拥堵，望有关单位关注。,1
天津市河东区成林路30号天津第七中学，学生放学时间段有大量私家车停在地道口附近造成交通拥堵，并且该地道上有一个广告墙年久失修，有脱落物悬挂在上面可能会造成人员伤亡，希望有关部门即使处理。,0
  北辰区果园北道及其周边道路路面交通标线严重褪色急需施画  人行横道线严重缺失，行人安全无保障，请速重新施画。具体道路涉及：果园北道、果园东路、果园中道、中学西路、高峰路等望有关部门重视,0
一名女子（疑似小姐）在宜清路和宜美道交口树林处招揽生意，不远处后面还有一男子紧盯着，怀疑是“仙人跳”，希望有关部门关注治理,0
天津市河东区津塘路上的三中心医院门口交通拥挤很容易造成事故尤其是高峰期间请有关部门处理,0
小黄车和陌拜单车乱停放现象严重并且还占用人行便道很容易发生事故请有关部门处理,0
钢管公司站安检员刘传珍（女，370923199910164222）因未成年一直使用孟德莹上岗证三证全无。,1
轻轨车务部有个叫高德珍的负责人，对工作严重不负责任，地铁五大员普遍没有门禁卡，包括民警，辅警，安检员，保洁。致使门禁不严，向其反应以配额不足为由，拒绝配发。民警要求其各部门都配发两到三张，从根本上解决该问题，但其拒绝配发，并说谁在开门罚谁。并大声喊叫她叫高德珍。致使轻轨所有的站普遍存在安全隐患。,0
天津火车站东站地下各层特别是负二层地铁站内的指示标识指示不清，且客流量以及收费区面积都较之其他各站大之数倍有余，另因外地乘客很多，因此初次在该地乘车的数量居高不下。直接导致因找不到乘车站台而焦躁，出站距离较远翻越护栏从而引发各类问题。建议调整标识设置，合理布局隔离设施，解决上述问题,1
今日发现华昌大街远洋地铁2号线对过路灯杆电线仓沒有盖子，里面有高伏电线，如行人或小孩路过容易产生触电危险，望相关部门解决。,0
西关北里小区，环境脏乱差，小区内存在一个自由市场（含卖菜，买水产、卖副食品、卖杂品），不仅卫生环境恶劣，而且噪声嘈杂，貌似一直也无人管理，对一些长期摊贩，卖鱼的很纵容，卖鱼的每天把摊位都摆到马路中央，还要冷食批发的亭子搭到了小区入口，影响出入。希望相关部门、给予关注、调研。,1
据群众反应靖江路与常州道交口附近的底商出现很多足疗店   实则是色情场所，到晚上出来活动，影响居民生活，靖泰里1号楼底商有很多这种场所，希望有关部门进行处理,0
河西区陵水道与榆林路交口珠江公园附近，一到下午傍晚有许多人聚众下棋玩牌，车辆也随意摆放，扰乱公共秩序，希望有关部门管理。,0
天津市河北区淮安西道附近清晨有多人贩卖蟋蟀，约有20个摊位，并有疑似子斗蟋蟀为由的赌博行为。,0
据群众反映，天津市滨海新区迎宾街20号金龙腾俱乐部有涉黄问题，卖淫嫖娼活动十分猖獗，而且附近的很多人都去那里，该俱乐部里有女孩穿着裸露，有裸体表演，利用淫秽词语招览男子进行卖淫活动影，影响非常坏， 也给社会环境造成相当恶劣的影响。严重影响了周边治安，也带坏了社会风气。卖淫嫖娼是违法犯罪活动，非常恶劣。希望有关部门进行处理。,0
这个小面包车每天下午都来北辰区大张庄喜凤花园凤凰一幼，接小孩放学，里面坐了不少小幼儿，且无任何安全措施，窗户开着，最后排小幼儿直接脸挨后车玻璃，要是发生追尾事故就太危险了，请有关部门重视，排除隐患，关爱祖国小花朵 ​​​,0
近来很多使用这个软件的都有个问题，积分如何兑换？,0
中北镇每到深夜空气污染异味特大，恶臭刺鼻，夜里开窗，气味真是让人受不了，附近居民备受煎熬，应该是水语花城南面的咸阳路污水处理厂排放的，群众反映这么久，一直没有处理，希望区领导体察民情，还中北居民能呼吸的空气！,0
河东区临池里亮顺歌厅悬挂的国旗 破旧 褪色 有损城市形象 希望有关部门加强监督管理,0
河东区有爱南里小区楼栋门口共享汽车私家车 乱停乱放堵着门口及是可恶 道路狭窄不易通过 转弯时遮挡视线 容易出现交通事故,0
华昌大街远洋站对过人行道路灯杆电线仓沒有盖子，里面有高伏电线，如行人或小孩路过接触容易产生触电危险,0
此人朋友圈内非法兜售个人信息，望有关部门处理。,1
中山门和睦西里14号楼楼下有堆放杂物情况易产生火灾隐患,0
红桥区本溪路地铁站周边小摊贩占路摆卖影响交通,0
北辰区集贤红云新里6门六楼，有个四十多岁的女士，因跟丈夫离婚，精神受刺激，每天在阳台大声的自言自语，家里应该只有她一人，虽然扰民不过确实挺可怜，可是这两天突然升级到用扩音器，每天持续好多个小时，尤其是晚上，希望她家亲属看见这条微博的，来她家看看她或者带她去医院看看精神科，总这么下去也不是事，万一哪天想不开，，请有关部门关注下,0
河北区靖江南里一楼住户大部分违法私建阳台，将入楼燃气总管道封闭其中，且私建阳台均作为厨房使用，不仅不利于燃气公司检测，更与厨房明火近在咫尺，先前一户厨房失火险些引发燃气总管道起火爆炸，居民多次向居委会反应也无人治理，给附近居民埋下了极大的安全隐患。,0
红桥区中嘉南道、中嘉路周边的居民居住区出现住宅楼首层居民私自拆改结构、在墙面和窗口处开门、在墙外搭建违章房屋、出租给从事经营的小商户。这些小商户又在便道上随意搭建、随意摆卖，违章占道，严重影响周边居民生活与出行。住宅房屋墙体开洞、私搭乱建、占道经营现象普遍，遍地垃圾，造成环境严重污染，影响了居民的日常生活。希望相关部门采取措施，彻底解决私改住宅、违建房屋、违法占道等现象，还居民一个安全、整洁、道路畅通的生活环境。,0
塘沽新港三号路贯穿紫云居住片区，众多高层居民小区临街而建，每到夜间，大量重型渣土车在该路段快速穿行，发出巨大噪音，并时常洒落大量渣土。一来该路段交口众多，在夜间无交通信号灯的情况下存在严重安全隐患；二来扬尘污染与当前环境治理大趋势背道而驰；三来严重噪音污染对周边居民生活带来极大影响。  新港三号路为中心商务区所属道路，且该道路原本就是没有非机动车道的双向四车道路段，如此狭窄的城区中心道路每日穿行大量重型渣土车是否恰当，希望有关部门采取长期有效的治理方式，而不是三天打鱼两天晒网，敷衍了事。,0
天津市河北区金狮桥地铁站对面鸿运棋牌室内存在现金赌博，最里面单间外有专人负责看门，里面存在大量现金赌博行为，有便衣工作人员背包里带现金放款,0
天津市东丽区利津路与跃进路恒星世界旁 经常有违章停车 更有停在马路中间 尤其晚上天黑没灯 很容易出现交通事故望有关部门给予处理,0
天津市河东区利万达广场旁 经常有违章停车 更有停在马路中间 堵中间马路尤其晚上天黑没灯 很容易出现交通事故望有关部门给予处理,0
河东区新开路大宅门餐馆门口胡乱停车，占盲道甚至边道、自行车道。,0
在营口道，吴家窑地铁站站台上，总有人向等车的乘客推销，让乘客加微信了解其产品等情况，让乘客扫码加微信，一扫发现是卖产品的，希望地铁管理人员加强管理。,1
小东庄站辅警高德培热心帮助腿脚不便乘客及携带的物品送至车厢，该乘客表示感谢！,1
据反映总医院附近麦当劳门口有人骑自行车收药 自行车车筐中有收药的大牌子 望有关部门及时治理,0
天津市东丽区明佳庄园小区，进去后第一座楼底商大众棋牌室内有赌博行为，里面有打鱼机老虎机数台，单间内还有百家乐，直接进行现金赌博,0
 在天津地图上有条泰兴路，幸福道到真理道区间内，现在这是脏乱差，违章违建臭水横流，家住幸福道可一点感觉不到幸福，只有愤怒和恐惧，是因为：  1.违章违建，垃圾堆，臭水味道熏人，到了夏天那味道更别提了，附近居民都不敢开窗通风;  2.废品收购站里面都是纸板木头塑料油桶等易燃物品，无消防设施，去年就着过一次火，要是在院内着起火来后果不堪设想;  3.噪声污染，废品收购站用大型机械施工，有时日夜不停;  4.私接电线;  5.大气污染，因是违建所以没有燃气暖气，违规焚烧蜂窝煤木板等，好处是我经常能看到炊烟升起;  6.破坏社会风气，原泰兴公寓售楼处本事就是违建，在售完楼本应拆除，但现在不仅一直在，反而成为淫秽色情场所，附近就是小学，对下一代造成的心灵伤害有多大不可估量。,0
南开区鞍山西道卧龙里公交站附近，有一处路灯杆的电线长期裸露在外，存在安全隐患，望有关部门尽快修复。,0
和平区新兴路与四平西道交口信华楼小区1号楼底商“九福大排档”晚上经营露天烧烤，严重污染周边环境且影响交通；小区4、5、6号楼门前有占路经营布料、蔬菜、水果的长期摊贩，且在附近三个僵尸车里堆放大量杂物。,0
津南区幸福公寓5号楼西侧圈占公共绿地搭建板房和集装箱，并且饲养大型犬，夜间狂叫影响居民休息。,0
据反映总医院附近麦当劳门口有人骑自行车收药 自行车车筐中有收药的大牌子 望有关部门及时治理,0
天津市津南区郭黄庄菜市场摊贩把摊子摆到马路上原本不宽阔的马路边得更窄小，对车辆出行和行人造成隐患忘有关部门多加管理,0
据群众反映，东丽区外环线，有私家车售卖偷来的柴油，望有关部门治理,0
据群众反映，西青区西青道280-增1号裕荣达洗浴。该洗浴有卖淫行为。希望有关部门进行处理。,0
大沽南路天津小学处天天早起送孩子的家长乱停车堵路，造成交通严重拥堵，交警能不能治理一下啊？今早遇上不知是孩儿奶奶还是姥姥开共享汽车送孩子上学，完后就停马路中间不走了。嘀嘀她还不脚闷，满嘴大脏话，说交警都不管，怎么停车别人管不着。有关部门治理一下。,0
卫国道与常州道之间靖江路段是单行路，有个别司机违反禁向标志行驶，尤其是早晚高峰时段造成道路拥堵，希望有关部门进行治理。,0
据反映天津市东丽区华明镇明湖苑小区一到早晚高峰小区内的道路就被小摊贩占据 严重影响了小区内住户的出行 同时存在一定的安全隐患 望有关部门及时治理,0
天津市河东区万新村曲溪中里13号楼楼下花园一个月前来了一个流浪汉，自述41岁，河南人，每天都住在花园里，附近邻居会给他一些吃的，他自己有锅不知道是谁给的，每天都会生火做水什么的，每次都是浓烟滚滚，由于在花园里极易引发火灾，现在一直住在花园里，眼看天气转冷，不知道该如何解决。望有关部门关注,0
据反映此处会所从事涉及卖淫等非法活动 望有关部门进行治理,0
天津市北辰区万科新城附近小摩的由于没有限制，开车横冲直撞，行人以及乘客的安全有隐患，望有关部门查处。,0
天津市河西区汕头路附近车辆乱停乱靠严重，再加上道路狭窄，导致过往车辆与行人常有事故发生，望有关部门关注。,0
解放南路外环线调头处。自从浯水道地道开通后每天都堵车，解放南路只有这一个调头的地方，每天外环线津港公路的车就很多，调头的就一个车道，还经常被左拐的车堵住。能不能根据路况设计的更合理一些呢？ ​​​希望有关部门进行调研。,0
